symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,openTime_dt,closeTime_dt
BEARBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ETHBULLUSDT,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ETHBULLBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ETHBEARUSDT,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ETHBEARBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
TCTBNB,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
TCTBTC,-0.00000003,-15.789,0.00000019,0.00000000,0.00000016,373582.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000019,0.00000023,0.00000015,292984058.00000000,54.71596088,1774248208591,1774334608591,3439253,3443252,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
TCTUSDT,-0.00022000,-6.587,0.00330050,0.00000000,0.00312000,119376.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00334000,0.00346000,0.00310000,152215525.00000000,502387.03863000,1774248208591,1774334608591,15528058,15532058,4001,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
WRXBNB,-0.00011500,-22.417,0.00052945,0.00000000,0.00039800,139.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00051300,0.00062200,0.00039100,2499265.10000000,1323.24635710,1774248208591,1774334608591,2334045,2338044,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
WRXBTC,0.00000009,2.018,0.00000463,0.00000000,0.00000455,393.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000446,0.00000490,0.00000442,2272644.40000000,10.52618735,1774248208591,1774334608591,14568411,14572410,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
WRXUSDT,-0.00090000,-4.945,0.01572210,0.00000000,0.01730000,373.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01820000,0.01830000,0.01440000,25499366.40000000,400903.64233000,1774248208591,1774334608591,59084805,59088805,4001,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ICXBUSD,-0.01310000,-7.389,0.17479192,0.00000000,0.16420000,73.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.17730000,0.19010000,0.16010000,2089458.20000000,365220.41484000,1774248208591,1774334608591,7100628,7104627,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BTSUSDT,0.00004000,0.746,0.00529791,0.00000000,0.00540000,3951.40000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00536000,0.00548000,0.00512000,49593414.80000000,262741.66950800,1774248208591,1774334608591,19570753,19574753,4001,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BTSBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
LSKUSDT,-0.00400000,-3.252,0.12023298,0.12300000,0.11900000,126.50000000,0.11800000,195920.90000000,0.11900000,8600.20000000,0.12300000,0.12400000,0.11700000,359403.00000000,43212.09450000,1775030383466,1775116783466,32519749,32520138,390,2026-04-01 07:59:43.466,2026-04-02 07:59:43.466
BNTUSDT,-0.00930000,-3.194,0.28879857,0.29120000,0.28190000,637.00000000,0.28200000,1004.10000000,0.28260000,96.20000000,0.29120000,0.29660000,0.27980000,906578.30000000,261818.51735000,1775030374662,1775116774662,31782694,31787299,4606,2026-04-01 07:59:34.662,2026-04-02 07:59:34.662
BNTBUSD,-0.04820000,-11.811,0.38228687,0.00000000,0.35990000,55.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.40810000,0.40880000,0.35910000,659485.10000000,252112.49164000,1774248208591,1774334608591,1447982,1451981,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
LTOBNB,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
LTOBTC,-0.00000016,-84.211,0.00000012,0.00000000,0.00000003,6207922.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000019,0.00000028,0.00000003,32167278.00000000,3.94737858,1774248208591,1774334608591,10359407,10363406,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
LTOUSDT,0.00010000,2.703,0.00345591,0.00000000,0.00380000,51234.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00370000,0.00400000,0.00290000,118743621.00000000,410367.53030000,1774248208591,1774334608591,40261743,40265743,4001,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ATOMBUSD,-0.33700000,-2.916,11.33355046,0.00000000,11.21900000,1.10000000,0.00000000,0.00000000,0.00000000,0.00000000,11.55600000,11.91400000,10.67400000,25299.57000000,286733.95309000,1774248208591,1774334608591,38348147,38352146,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
DASHBUSD,0.05000000,0.194,25.67033350,0.00000000,25.83000000,2.27400000,0.00000000,0.00000000,0.00000000,0.00000000,25.78000000,26.59000000,24.26000000,8979.37400000,230503.52517000,1774248208591,1774334608591,5918683,5922682,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
NEOBUSD,-0.65000000,-8.808,7.09521327,0.00000000,6.73000000,7.85000000,0.00000000,0.00000000,0.00000000,0.00000000,7.38000000,7.40000000,6.62000000,41276.54000000,292865.85440000,1774248208591,1774334608591,7465769,7469768,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
WAVESBUSD,0.14300000,6.898,2.06907193,0.00000000,2.21600000,17.90000000,0.00000000,0.00000000,0.00000000,0.00000000,2.07300000,2.22900000,1.85800000,237828.56000000,492084.39866000,1774248208591,1774334608591,12654490,12658489,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
XTZBUSD,0.02900000,4.517,0.66198859,0.00000000,0.67100000,1000.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.64200000,0.69600000,0.63700000,543733.00000000,359945.04210000,1774248208591,1774334608591,11604250,11608249,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
EOSBULLUSDT,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
EOSBULLBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
EOSBEARUSDT,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
EOSBEARBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
XRPBULLUSDT,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
XRPBULLBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
XRPBEARUSDT,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
XRPBEARBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
BATBUSD,-0.00160000,-0.928,0.17319248,0.00000000,0.17090000,132.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.17250000,0.18190000,0.16420000,1847047.00000000,319894.64610000,1774248208591,1774334608591,6064636,6068635,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ENJBUSD,0.03020000,13.102,0.25265222,0.00000000,0.26070000,36.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.23050000,0.28600000,0.22740000,1843898.90000000,465865.14343000,1774248208591,1774334608591,17747743,17751742,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
NANOBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
ONTBUSD,-0.01470000,-8.542,0.16827561,0.00000000,0.15740000,689.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.17210000,0.17800000,0.15610000,2497480.00000000,420264.97230000,1774248208591,1774334608591,6291336,6295335,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
RVNBUSD,0.00027000,1.802,0.01491818,0.00000000,0.01525000,30415.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01498000,0.01569000,0.01402000,19269580.20000000,287466.97513200,1774248208591,1774334608591,6818792,6822791,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
STRATBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
STRATBNB,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
