symbol,bidPrice,bidQty,askPrice,askQty
TRXEUR,0.27370000,21958.00000000,0.27380000,962.00000000
VETTRY,0.30080000,30064.10000000,0.30100000,6075.00000000
SHIBUSDT,0.00000586,3559768361.00,0.00000587,4622379470.00
SHIBBUSD,0.00000000,0.00,0.00000000,0.00
ICPBTC,0.00003350,703.11000000,0.00003360,1168.23000000
ICPBNB,0.00000000,0.00000000,0.00000000,0.00000000
ICPBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ICPUSDT,2.24300000,1159.95000000,2.24400000,162.78000000
SHIBEUR,0.00000508,278377696.00,0.00000509,211991305.00
SHIBRUB,0.00000000,0.00,0.00000000,0.00
ETCEUR,0.00000000,0.00000000,0.00000000,0.00000000
ETCBRL,0.00000000,0.00000000,0.00000000,0.00000000
DOGEBIDR,0.00,0.00000000,0.00,0.00000000
ARBTC,0.00002520,2151.16000000,0.00002530,742.88000000
ARBNB,0.00000000,0.00000000,0.00000000,0.00000000
ARBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ARUSDT,1.69000000,2544.52000000,1.70000000,11432.98000000
POLSBTC,0.00000000,0.00000000,0.00000000,0.00000000
POLSBNB,0.00000000,0.00000000,0.00000000,0.00000000
POLSBUSD,0.00000000,0.00000000,0.00000000,0.00000000
POLSUSDT,0.00000000,0.00000000,0.00000000,0.00000000
MDXBTC,0.00000000,0.00000000,0.00000000,0.00000000
MDXBNB,0.00000000,0.00000000,0.00000000,0.00000000
MDXBUSD,0.00000000,0.00000000,0.00000000,0.00000000
MDXUSDT,0.00000000,0.00000000,0.00000000,0.00000000
MASKBNB,0.00000000,0.00000000,0.00000000,0.00000000
MASKBUSD,0.00000000,0.00000000,0.00000000,0.00000000
MASKUSDT,0.41200000,13501.00000000,0.41300000,10262.00000000
LPTBTC,0.00003020,2111.44000000,0.00003030,40.50000000
LPTBNB,0.00000000,0.00000000,0.00000000,0.00000000
LPTBUSD,0.00000000,0.00000000,0.00000000,0.00000000
LPTUSDT,2.02700000,124.77000000,2.02800000,7.12000000
ETHUAH,0.00000000,0.00000000,0.00000000,0.00000000
MATICBRL,0.00000000,0.00000000,0.00000000,0.00000000
SOLEUR,69.06000000,3.83100000,69.07000000,2.33100000
SHIBBRL,0.00003040,31745760.00,0.00003043,13135045.00
AGIXBTC,0.00000000,0.00000000,0.00000000,0.00000000
ICPEUR,1.94500000,18.56000000,1.94800000,18.56000000
MATICGBP,0.00000000,0.00000000,0.00000000,0.00000000
SHIBTRY,0.00026080,21937500.00,0.00026100,136798902.00
MATICBIDR,0.00,0.00000000,0.00,0.00000000
MATICRUB,0.00000000,0.00000000,0.00000000,0.00000000
NUBTC,0.00000000,0.00000000,0.00000000,0.00000000
NUBNB,0.00000000,0.00000000,0.00000000,0.00000000
NUBUSD,0.00000000,0.00000000,0.00000000,0.00000000
NUUSDT,0.00000000,0.00000000,0.00000000,0.00000000
XVGUSDT,0.00433500,312866.00000000,0.00433800,56772.00000000
RLCBUSD,0.00000000,0.00000000,0.00000000,0.00000000
CELRBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ATMBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ZENBUSD,0.00000000,0.00000000,0.00000000,0.00000000
FTMBUSD,0.00000000,0.00000000,0.00000000,0.00000000
THETABUSD,0.00000000,0.00000000,0.00000000,0.00000000
WINBUSD,0.00000000,0.00000000,0.00000000,0.00000000
KAVABUSD,0.00000000,0.00000000,0.00000000,0.00000000
XEMBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ATABTC,0.00000000,0.00000000,0.00000000,0.00000000
ATABNB,0.00000000,0.00000000,0.00000000,0.00000000
ATABUSD,0.00000000,0.00000000,0.00000000,0.00000000
ATAUSDT,0.00830000,137308.00000000,0.00840000,285441.00000000
GTCBTC,0.00000000,0.00000000,0.00000000,0.00000000
GTCBNB,0.00000000,0.00000000,0.00000000,0.00000000
